title,company,location,time_posted,url,description
Frontend Developer,IBM,"Pune, Maharashtra, India",2025-05-07,https://in.linkedin.com/jobs/view/frontend-developer-at-ibm-4207602674,"Introduction The IBM Ceph Storage team is seeking a talented Frontend Developer to join our team. The ideal candidate will have experience with Angular, TypeScript, JavaScript, SCSS, and Python. The successful candidate will be responsible for designing, developing, and maintaining the frontend of our Ceph management application. Your Role And Responsibilities Design and develop high-quality, scalable, and maintainable frontend code using Angular, TypeScript, and SCSS Collaborate with other Ceph teams to ensure seamless integration and provide the best user experience for the consumer Develop and maintain reusable UI components and libraries Participate in code reviews and contribute to the improvement of the codebase Troubleshoot and resolve frontend-related issues Stay up-to-date with the latest frontend technologies and trends Work closely with the design team to ensure visually appealing and user-friendly interfaces Required Technical And Professional Expertise 2+ years of experience in frontend development Strong knowledge of Angular, TypeScript, JavaScript, SCSS, and HTML/CSS Proficiency in Python is a bonus, especially if you have experience with backend development Experience with version control systems such as Git Strong problem-solving skills and attention to detail Excellent communication and collaboration skills Ability to work in a fast-paced environment and prioritize tasks effectively Preferred Technical And Professional Experience Experience with backend development, especially in Python Knowledge of DevOps practices and tools Familiarity with containerization using Docker Experience with testing frameworks such as Jest or Cypress Knowledge of accessibility guidelines and best practices Show more Show less"
Frontend Developer,IBM,"Bengaluru, Karnataka, India",2025-05-07,https://in.linkedin.com/jobs/view/frontend-developer-at-ibm-4207600783,"Introduction The IBM Ceph Storage team is seeking a talented Frontend Developer to join our team. The ideal candidate will have experience with Angular, TypeScript, JavaScript, SCSS, and Python. The successful candidate will be responsible for designing, developing, and maintaining the frontend of our Ceph management application. Your Role And Responsibilities Design and develop high-quality, scalable, and maintainable frontend code using Angular, TypeScript, and SCSS Collaborate with other Ceph teams to ensure seamless integration and provide the best user experience for the consumer Develop and maintain reusable UI components and libraries Participate in code reviews and contribute to the improvement of the codebase Troubleshoot and resolve frontend-related issues Stay up-to-date with the latest frontend technologies and trends Work closely with the design team to ensure visually appealing and user-friendly interfaces Required Technical And Professional Expertise 2+ years of experience in frontend development Strong knowledge of Angular, TypeScript, JavaScript, SCSS, and HTML/CSS Proficiency in Python is a bonus, especially if you have experience with backend development Experience with version control systems such as Git Strong problem-solving skills and attention to detail Excellent communication and collaboration skills Ability to work in a fast-paced environment and prioritize tasks effectively Preferred Technical And Professional Experience Experience with backend development, especially in Python Knowledge of DevOps practices and tools Familiarity with containerization using Docker Experience with testing frameworks such as Jest or Cypress Knowledge of accessibility guidelines and best practices Show more Show less"
Clinical Data Scientist,AstraZeneca India,"Bengaluru East, Karnataka, India",2025-05-07,https://in.linkedin.com/jobs/view/clinical-data-scientist-at-astrazeneca-india-4203114382,"Job Title: Clinical Data Scientist Career Level: C Introduction to role As a Clinical Data Scientist, you will be responsible for the configuration and maintenance of elements of Centralised Monitoring (CM) to ensure its readiness to support new and existing projects. You will create and update CM system documentation and set up standard CM functionalities. You may also develop specific CM functionalities of lower complexity. Working closely with Data Scientists within CM, you will support them in their work. Accountabilities Perform basic system administration activities including basic access management tasks, change management tasks, issue management tasks, and related documentation Configure systems to enable CM support of new studies (including tasks like configuration of data sources and setup of new working spaces and repositories) Under supervision, develop and maintain lower complexity CM functionalities. Tasks can involve gathering requirements, programming, testing, and creating required documentation Deliver elements of or end-to-end mapping of standard CM functionalities (including programming, testing, validation, creating, and filling of required documentation) Configure systems to enable execution of CM analyses for assigned studies (prepare systems for new study set-up; set-up and maintain system data sources) Essential Skills/Experience Educational degree (BSc/MSc/PhD) in Life Science, Computer Science, or Information Science and experience in the application of information and knowledge management in a clinical or scientific setting, or equivalent combination of education and experience Basic knowledge of at least one programming language used for data analysis or demonstrated ability/capabilities to acquire such skills in a reasonable timeframe Good communication skills in both written and spoken English Desirable Skills/Experience Basic knowledge of R is an advantage Previous experience with at least one BI platform is an advantage Previous experience in life science and clinical studies is an advantage When we put unexpected teams in the same room, we unleash bold thinking with the power to inspire life-changing medicines. In-person working gives us the platform we need to connect, work at pace and challenge perceptions. That's why we work, on average, a minimum of three days per week from the office. But that doesn't mean we're not flexible. We balance the expectation of being in the office while respecting individual flexibility. Join us in our unique and ambitious world. Join the team that follows the science unlike anywhere else. This is the place for curious minds. Dig deep into the biology of complex disease and uncover breakthroughs. Our belief powers us to push the boundaries. As we improve success rates, we keep moving forward. Celebrating both successes and failures along the way. We're investing to enhance our understanding of disease as we work towards creating the next generation of therapeutics and pioneering new approaches to better predict clinical success. Always advancing our scientific knowledge and helping to shape the future of healthcare for the greatest and swiftest impact on disease. Ready to make a difference? Apply now! Show more Show less"
Data Scientist,Syngenta,"Pune, Maharashtra, India",2025-05-07,https://in.linkedin.com/jobs/view/data-scientist-at-syngenta-4225306031,"Company Description As a world market leader in crop protection, we help farmers to counter these threats and ensure enough safe, nutritious, affordable food for all – while minimizing the use of land and other agricultural inputs. Syngenta Crop Protection keeps plants safe from planting to harvesting. From the moment a seed is planted through to harvest, crops need to be protected from weeds, insects and diseases as well as droughts and floods, heat and cold. Syngenta Crop Protection is headquartered in Switzerland. Job Description Role Purpose The Data Scientist will utilize data science techniques to solve real-world problems to enable informed decisions to Crop Protection Development (CPD) and related divisions. While partnering with other data scientists, developers, domain experts, product managers and other stakeholders Data Scientist will build various data science solutions by collecting, analysing, and interpreting large datasets, building algorithms and predictive models. Will contribute to the development and enhancement of customer (farmer/grower) centric mobile application. Accountabilities With a focus on the Digital and Data Science critical initiatives for Crop Protection development (CPD) in India: Collaborate with cross-functional teams to understand business requirements and design end-to-end solutions architecture for data science applications. Utilize crop protection trial data, generate insights via dashboards, ML models that help field scientists and product development heads to visualize the product performance, comparisons and take decisions. Perform statistical analyses of product performance data for towards CPD and business needs. Work closely with Digital Agronomy team to automate field insights and query response for the field scientists, farmers, and commercial team. Partner with AMEA and Global Technical Excellence and Quantitative Biology team for development, testing, and implementation of new methodologies and applications in data projects. Use BITS and other tools and systems to provide information to CPD team in the form of data searches, queries, summaries, visualizations, analyses, and reports. Build deep learning/image recognition based advisory tool for the farmers via Cropwise grower App. Collaborate with data engineering team to seamlessly transition ML/AI innovations into scalable and reliable operational solutions. Prepare technical reports and presentations to communicate results and insights to both technical and non-technical stakeholders. Contribute to the development and testing of mobile application/enhancement on the application for various platforms like Android, iOS, or Windows. Qualifications Knowledge, Experience & Capabilities Critical knowledge Master’s or bachelor’s degree in data science, Computer Science, Machine Learning, Artificial Intelligence, Statistics, Mathematics, Engineering, or a related quantitative field. More than 4 years of experience in Python/R programming, Web Scraping, Data Wrangling, Data Visualization, R Shiny/Dash, Machine Learning, Deep Learning, SQL, AWS/Google Cloud/Azure At least 2 years of experience working in data science or related discipline in the agrochemical industry. Critical Experience Good understanding of agriculture, field trials, crop protection, farmer focused applications and its elements Strategic thinking, ability to understand customer needs, business potential in India. Focused on customers and dedicated to meet the expectations and requirements of internal and external customers. Broad understanding of digital tools, data analytics, ML, Data Visualization, web scraping, data summarization Hands-on on NLP, LLM, Mobile application is an added advantage. Strong communication skills to guide and influence stakeholders / organization to drive digital transformation. Collaborative, inclusive and cross functional attitude. Comfortable working in a matrix organization. Proven track-record of delivering data science solutions in agrochemical industry Critical Technical, Professional, And Personal Capabilities Good interpersonal skills Excellent communication skills. Highly fluent in English. Capability to drive and enthusiasm in product development. Ability to motivate and lead others. Ability to accept challenges and achieve results under pressure. High level written, oral communication and presentation skills. Good computer skills (including word processing, presentation preparation). High level of integrity. High level of self-motivation. Critical Leadership Capabilities Passion and enthusiasm for data science and its applications for agriculture. Upskilling self and others Mentoring Junior Data Scientists Open minded, builds a culture of innovation - creates an environment that inspires and supports creativity. Proactive communication and alignment with stakeholders. Strategic thinking with the ability to focus to deliver on what matters. Manages for performance - skillfully plans, organizes and monitors performance to create value and achieve excellence in delivery. Focused on customers and is dedicated to meeting the expectations and requirements of customers. Additional Information Additional Information : People Are At The Heart Of What We Do Once a year Full body check Competitive insurance scheme Employee assistance program – to take care of your and your loved ones mental health Paid Vacation of 30days, 12 Paid Holidays, Maternity and Paternity Leave, compassionate leaves Education assistance – for your career growth People first culture translated into ‘Most Preferred place to work 2022-23 by Times group’ Note: Syngenta is an Equal Opportunity Employer and does not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity, marital or veteran status, disability, or any other legally protected status. To learn more visit: www.syngenta.com and www.good-growth-plan Follow us on: Twitter & LinkedIn Twitter LinkedIn Show more Show less"
ML Engineer,dentsu,Greater Bengaluru Area,2025-05-07,https://in.linkedin.com/jobs/view/ml-engineer-at-dentsu-4156143382,"Job Description: We are looking for a Data Scientist with expertise in Python, Azure Cloud, NLP, Forecasting, and large-scale data processing. The role involves enhancing existing ML models, optimising embeddings, LDA models, RAG architectures, and forecasting models, and migrating data pipelines to Azure Databricks for scalability and efficiency. Key Responsibilities: Model Development Model Development & Optimisation Train and optimise models for new data providers, ensuring seamless integration. Enhance models for dynamic input handling. Improve LDA model performance to handle a higher number of clusters efficiently. Optimise RAG (Retrieval-Augmented Generation) architecture to enhance recommendation accuracy for large datasets. Upgrade Retrieval QA architecture for improved chatbot performance on large datasets. Forecasting & Time Series Modelling Develop and optimise forecasting models for marketing, demand prediction, and trend analysis. Implement time series models (e.g., ARIMA, Prophet, LSTMs) to improve business decision-making. Integrate NLP-based forecasting, leveraging customer sentiment and external data sources (e.g., news, social media). Data Pipeline & Cloud Migration Migrate the existing pipeline from Azure Synapse to Azure Databricks and retrain models accordingly - Note: this is required only for the AUB role(s) Address space and time complexity issues in embedding storage and retrieval on Azure Blob Storage. Optimise embedding storage and retrieval in Azure Blob Storage for better efficiency. MLOps & Deployment Implement MLOps best practices for model deployment on Azure ML, Azure Kubernetes Service (AKS), and Azure Functions. Automate model training, inference pipelines, and API deployments using Azure services. Experience: Experience in Data Science, Machine Learning, Deep Learning and Gen AI. Design, Architect and Execute end to end Data Science pipelines which includes Data extraction, data preprocessing, Feature engineering, Model building, tuning and Deployment. Experience in leading a team and responsible for project delivery. Experience in Building end to end machine learning pipelines with expertise in developing CI/CD pipelines using Azure Synapse pipelines, Databricks, Google Vertex AI and AWS. Experience in developing advanced natural language processing (NLP) systems, specializing in building RAG (Retrieval-Augmented Generation) models using Langchain. Deploy RAG models to production. Have expertise in building Machine learning pipelines and deploy various models like Forecasting models, Anomaly Detection models, Market Mix Models, Classification models, Regression models and Clustering Techniques. Maintaining Github repositories and cloud computing resources for effective and efficient version control, development, testing and production. Developing proof-of-concept solutions and assisting in rolling these out to our clients. Required Skills & Qualifications: Hands-on experience with Azure Databricks, Azure ML, Azure Synapse, Azure Blob Storage, and Azure Kubernetes Service (AKS). Experience with forecasting models, time series analysis, and predictive analytics. Proficiency in Python (NumPy, Pandas, TensorFlow, PyTorch, Statsmodels, Scikit-learn, Hugging Face, FAISS). Experience with model deployment, API optimisation, and serverless architectures. Hands-on experience with Docker, Kubernetes, and MLflow for tracking and scaling ML models. Expertise in optimising time complexity, memory efficiency, and scalability of ML models in a cloud environment. Experience with Langchain or equivalent and RAG and multi-agentic generation Location: DGS India - Bengaluru - Manyata N1 Block Brand: Merkle Time Type: Full time Contract Type: Permanent Show more Show less"
Data Scientist-Artificial Intelligence,IBM,"Gurgaon, Haryana, India",2025-05-07,https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4207606243,"Introduction In this role, you'll work in one of our IBM Consulting Client Innovation Centers (Delivery Centers), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology Your Role And Responsibilities As an Associate Data Scientist at IBM, you will work to solve business problems using leading edge and open-source tools such as Python, R, and TensorFlow, combined with IBM tools and our AI application suites. You will prepare, analyze, and understand data to deliver insight, predict emerging trends, and provide recommendations to stakeholders. In Your Role, You May Be Responsible For Implementing and validating predictive and prescriptive models and creating and maintaining statistical models with a focus on big data & incorporating machine learning. techniques in your projects Writing programs to cleanse and integrate data in an efficient and reusable manner Working in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors Communicating with internal and external clients to understand and define business needs and appropriate modelling techniques to provide analytical solutions. Evaluating modelling results and communicating the results to technical and non-technical audiences Preferred Education Master's Degree Required Technical And Professional Expertise Proof of Concept (POC) Development: Develop POCs to validate and showcase the feasibility and effectiveness of the proposed AI solutions. Collaborate with development teams to implement and iterate on POCs, ensuring alignment with customer requirements and expectations. Help in showcasing the ability of Gen AI code assistant to refactor/rewrite and document code from one language to another, particularly COBOL to JAVA through rapid prototypes/ PoC Document solution architectures, design decisions, implementation details, and lessons learned. Create technical documentation, white papers, and best practice guides Preferred Technical And Professional Experience Strong programming skills, with proficiency in Python and experience with AI frameworks such as TensorFlow, PyTorch, Keras or Hugging Face. Understanding in the usage of libraries such as SciKit Learn, Pandas, Matplotlib, etc. Familiarity with cloud platforms Experience and working knowledge in COBOL & JAVA would be preferred Experience in python and pyspark will be added advantage Show more Show less"
Data Scientist,Impetus,"Gurugram, Haryana, India",2025-05-07,https://in.linkedin.com/jobs/view/data-scientist-at-impetus-4203764847,"About Impetus Impetus Technologies is a digital engineering company focused on delivering expert services and products to help enterprises achieve their transformation goals. We solve the analytics, AI, and cloud puzzle, enabling businesses to drive unmatched innovation and growth. Founded in 1991, we are cloud and data engineering leaders providing solutions to fortune 100 enterprises, headquartered in Los Gatos, California, with development centers in NOIDA, Indore, Gurugram, Bengaluru, Pune, and Hyderabad with over 3000 global team members. We also have offices in Canada and Australia and collaborate with a number of established companies, including American Express, Bank of America, Capital One, Toyota, United Airlines, and Verizon. Job Role- Data Scientist Experience- 3.5+ years Locations- Indore, Bangalore, Pune, Gurgaon, Noida Job Description Hands on experience of working with LLM (Large Language Models) or LangChain and OpenAI in particular. Implementing and fine tuning the AI- generated text prompts using LLMs (eg:-GPT4) Skilled in AI-specific utilities like ChatGPT, Hugging Face Transformers, etc. Ability to understand business requirements. Usecase derivation and solution creation from structured/unstructured data Story telling, Business communication and Documentation Programming Skills – Python, Scikit-Learn, TensorFlow, PyTorch, Keras Exploratory Data Analysis Machine Learning and Deep Learning Algorithms Model building, Hyperparameter tuning and Model performance metrics MLOps, Data Pipeline, Data engineering Statistics Knowledge (Probability Distributions, Hypothesis Testing) Time series modeling, Forecasting, Image/Video Analytics, Natural Language Processing (NLP). ML services from Clouds such as AWS, GCP, Azure and Databricks Optional - Big Data -Basic knowledge on Spark, Hive Roles & Responsibilities Acquire skills required for building Machine learning models and deploy them for production. Feature Engineering, EDA, Pipeline creation, Model training and hyperparameter tuning with structured and unstructured data sets. Develop Cloud based applications including LLM/GenAI and deploy them into production. Qualification Degree – Graduates/Postgraduate in CSE/IT or related field Show more Show less"
Data Scientist-Artificial Intelligence,IBM,"Bengaluru, Karnataka, India",2025-05-07,https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4207399920,"Introduction In this role, you'll work in one of our IBM Consulting Client Innovation Centers (Delivery Centers), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe. You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio; including Software and Red Hat. Curiosity and a constant quest for knowledge serve as the foundation to success in IBM Consulting. In your role, you'll be encouraged to challenge the norm, investigate ideas outside of your role, and come up with creative solutions resulting in ground breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and development opportunities in an environment that embraces your unique skills and experience Your Role And Responsibilities As an Data Engineer at IBM you will harness the power of data to unveil captivating stories and intricate patterns. You'll contribute to data gathering, storage, and both batch and real-time processing. Collaborating closely with diverse teams, you'll play an important role in deciding the most suitable data management systems and identifying the crucial data required for insightful analysis. As a Data Engineer, you'll tackle obstacles related to database integration and untangle complex, unstructured data sets. In This Role, Your Responsibilities May Include Implementing and validating predictive models as well as creating and maintain statistical models with a focus on big data, incorporating a variety of statistical and machine learning techniques Designing and implementing various enterprise search applications such as Elasticsearch and Splunk for client requirements Work in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviours’. Build teams or writing programs to cleanse and integrate data in an efficient and reusable manner, developing predictive or prescriptive models, and evaluating modelling results Preferred Education Master's Degree Required Technical And Professional Expertise Proof of Concept (POC) Development: Develop POCs to validate and showcase the feasibility and effectiveness of the proposed AI solutions. Help in showcasing the ability of Gen AI code assistant to refactor/rewrite and document code from one language to another Document solution architectures, design decisions, implementation details, and lessons learned. Stay up to date with the latest trends and advancements in AI, foundation models, and large language models. Evaluate emerging technologies, tools, and frameworks to assess their potential impact on solution design and implementation Preferred Technical And Professional Experience Experience and working knowledge in COBOL & JAVA would be preferred Having experience in Code generation, code matching & code translation leveraging LLM capabilities would be a Big plus Demonstrate a growth mindset to understand clients' business processes and challenges Show more Show less"
Data Scientist-Artificial Intelligence,IBM,"Bengaluru, Karnataka, India",2025-05-07,https://in.linkedin.com/jobs/view/data-scientist-artificial-intelligence-at-ibm-4207600786,"Introduction In this role, you'll work in one of our IBM Consulting Client Innovation Centers (Delivery Centers), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. Your Role And Responsibilities An AI Data Scientist at IBM is not just a job title - it’s a mindset. You’ll leverage the watsonx,AWS Sagemaker,Azure Open AI platform to co-create AI value with clients, focusing on technology patterns to enhance repeatability and delight clients. We are seeking an experienced and innovative AI Data Scientist to be specialized in foundation models and large language models. In this role, you will be responsible for architecting and delivering AI solutions using cutting-edge technologies, with a strong focus on foundation models and large language models. You will work closely with customers, product managers, and development teams to understand business requirements and design custom AI solutions that address complex challenges. Experience with tools like Github Copilot, Amazon Code Whisperer etc. is desirable. Success is our passion, and your accomplishments will reflect this, driving your career forward, propelling your team to success, and helping our clients to thrive. Day-to-Day Duties Proof of Concept (POC) Development: Develop POCs to validate and showcase the feasibility and effectiveness of the proposed AI solutions. Collaborate with development teams to implement and iterate on POCs, ensuring alignment with customer requirements and expectations. Help in showcasing the ability of Gen AI code assistant to refactor/rewrite and document code from one language to another, particularly COBOL to JAVA through rapid prototypes/ PoC Documentation and Knowledge Sharing: Document solution architectures, design decisions, implementation details, and lessons learned. Create technical documentation, white papers, and best practice guides. Contribute to internal knowledge sharing initiatives and mentor new team members. Industry Trends and Innovation: Stay up to date with the latest trends and advancements in AI, foundation models, and large language models. Evaluate emerging technologies, tools, and frameworks to assess their potential impact on solution design and implementation Preferred Education Master's Degree Required Technical And Professional Expertise Strong programming skills, with proficiency in Python and experience with AI frameworks such as TensorFlow, PyTorch, Kera’s or Hugging Face. Understanding in the usage of libraries such as SciKit Learn, Pandas, Matplotlib, etc. Familiarity with cloud platforms (e.g. Kubernetes, AWS, Azure, GCP) and related services is a plus. Experience and working knowledge in COBOL & JAVA would be preferred Having experience in Code generation, code matching & code translation leveraging LLM capabilities would be a Big plus (e.g. Amazon Code Whisperer, Github Copilot etc.) * Soft Skills: Excellent interpersonal and communication skills. Engage with stakeholders for analysis and implementation. Commitment to continuous learning and staying updated with advancements in the field of AI. Growth mindset: Demonstrate a growth mindset to understand clients' business processes and challenges. Experience in python and pyspark will be added advantage Preferred Technical And Professional Experience Experience: Proven experience in designing and delivering AI solutions, with a focus on foundation models, large language models, exposure to open source, or similar technologies. Experience in natural language processing (NLP) and text analytics is highly desirable. Understanding of machine learning and deep learning algorithms. Strong track record in scientific publications or open-source communities Experience in full AI project lifecycle, from research and prototyping to deployment in production environments Show more Show less"
"Staff, Machine Learning Engineer (L4)",Twilio,India,2025-05-07,https://in.linkedin.com/jobs/view/staff-machine-learning-engineer-l4-at-twilio-4193860996,"Who We Are At Twilio, we’re shaping the future of communications, all from the comfort of our homes. We deliver innovative solutions to hundreds of thousands of businesses and empower millions of developers worldwide to craft personalized customer experiences. Our dedication to remote-first work, and strong culture of connection and global inclusion means that no matter your location, you’re part of a vibrant team with diverse experiences making a global impact each day. As we continue to revolutionize how the world interacts, we’re acquiring new skills and experiences that make work feel truly rewarding. Your career at Twilio is in your hands. See yourself at Twilio Join the team as Twilio’s next Staff, Machine Learning Engineer in our Identity Resolution team. About The Job Twilio is a leader in providing innovative solutions to complex data challenges, helping businesses better understand their customers. Twilio is at the forefront of transforming how businesses understand and engage with their customers. Leveraging advanced identity resolution technologies, we unify and enrich disparate data sources to create comprehensive customer profiles. As a Staff Engineer specializing in Machine Learning and Feature Engineering for the Identity Resolution team, you will drive the development of sophisticated ML models and advanced feature engineering techniques designed to enhance our identity resolution capabilities. Your work will play a critical role in improving our systems' ability to match and unify customer identities accurately, enabling more personalized customer experiences and strategic business insights. Your role will also involve building robust data infrastructure to support and scale our machine learning initiatives. To thrive in this role, you must have a deep background in ML engineering, and a consistent track record of solving data & machine-learning problems at scale. You are a self-starter, embody a growth attitude, and collaborate effectively across the entire Twilio organization Responsibilities In this role, you’ll: Design, implement, and refine machine learning models that improve the precision and recall of identity resolution algorithms. Develop and optimize feature engineering methodologies to extract meaningful patterns from large and complex datasets that enhance identity matching and unification. Develop and maintain scalable data infrastructure to support the deployment and training of machine learning models, ensuring that they run efficiently under varying loads. Build and maintain scalable machine learning solutions in production Train and validate both deep learning-based and statistical-based models considering use-case, complexity, performance, and robustness Demonstrate end-to-end understanding of applications and develop a deep understanding of the “why” behind our models & systems Partner with product managers, tech leads, and stakeholders to analyze business problems, clarify requirements and define the scope of the systems needed Ensure high standards of operational excellence by implementing efficient processes, monitoring system performance, and proactively addressing potential issues. Drive engineering best practices around code reviews, automated testing and monitoring Qualifications Twilio values diverse experiences from all kinds of industries, and we encourage everyone who meets the required qualifications to apply. If your career is just starting or hasn't followed a traditional path, don't let that stop you from considering Twilio. We are always looking for people who will bring something new to the table! Required: 7+ years of applied ML experience. Proficiency in Python, Java or Golang is preferred. Extensive experience in feature engineering and developing data-driven frameworks that enhance identity matching algorithms. Strong background in the foundations of machine learning and building blocks of modern deep learning Deep understanding of machine learning frameworks and libraries such as TensorFlow, PyTorch, or Scikit-learn. Experience with big data technologies like Apache Spark or Hadoop, and familiarity with cloud platforms (AWS, Azure, Google Cloud) for scalable data processing. Familiarity with ML Ops concepts related to testing and maintaining models in production such as testing, retraining, and monitoring. Experienced with modern data storage, messaging, and processing tools (Kafka, Apache Spark, Hadoop, Presto, DynamoDB etc.) and demonstrated experience designing and coding in big-data components such as DynamoDB or similar Experience working in an agile team environment with changing priorities Experience of working on AWS Desired Exposure to Advertising Technology, Marketing Technology domains. Experience designing and implementing highly available, performant, and fault-tolerant distributed systems that provide durable and (eventually) consistent results. Experience with Large Language Models Location This role will be remote, based in India (Karnataka, Maharashtra, New Delhi, Tamil Nadu, Telangana) Travel We prioritize connection and opportunities to build relationships with our customers and each other. For this role, you may be required to travel occasionally to participate in project or team in-person meetings. What We Offer Working at Twilio offers many benefits, including competitive pay, generous time off, ample parental and wellness leave, healthcare, a retirement savings program, and much more. Offerings vary by location. Twilio thinks big. Do you? We like to solve problems, take initiative, pitch in when needed, and are always up for trying new things. That's why we seek out colleagues who embody our values — something we call Twilio Magic. Additionally, we empower employees to build positive change in their communities by supporting their volunteering and donation efforts. So, if you're ready to unleash your full potential, do your best work, and be the best version of yourself, apply now! If this role isn't what you're looking for, please consider other open positions. Twilio is proud to be an equal opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Qualified applicants with arrest or conviction records will be considered for employment in accordance with the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act. Additionally, Twilio participates in the E-Verify program in certain locations, as required by law. Twilio is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, please contact us at accommodations@twilio.com. Show more Show less"
