title,company,location,time_posted,url,description,clean_location,skills
Data Scientist - Last Mile,Veho,United States,2025-05-07,https://www.linkedin.com/jobs/view/data-scientist-last-mile-at-veho-4188551903,"About The Role As a Data Scientist, you’ll be part of a team of Data Scientists to help define, build, and operate sophisticated models to answer hard questions centered around improving our logistics network and user experiences. In particular you will be focused on the Last Mile space to better understand our driver’s delivery behavior and improve our tools for creating, estimating, and tracking routes. You’ll partner with product managers to understand high-value business problems, build systems that inform daily operations, and work with cutting-edge technology. You’ll work closely with software engineers to operationalize the models you build in the production systems that drive Veho. Responsibilities Include Building reliable, efficient, and scalable Data Science models Using telemetry data to understand how we can help drivers deliver our packages more efficiently Creating data products that help stakeholders understand company performance in the area of Last Mile Understanding business context and gathering requirements Proactively identifying the most impactful opportunities to shape product roadmaps Creating robust data pipelines to feed analyses and models Analyzing and evaluating the impact and effectiveness of models in production systems What You Bring Bachelor’s Degree plus 4 years of experience in data science or data engineering, or Master’s Degree plus 2 years in data science At least 2 years of experience using statistical modeling or machine learning techniques to solve business problems. Strong SQL and Python skills are a must At least 2 years of experience with open source languages and tooling used for large-scale data analytics like Python, numpy, and/or distributed data processing systems like spark At least 2 years of experience with analytical relational databases like Redshift, BigQuery, or Snowflake At least 2 years of experience working with cloud-based data engineering and data science tools. Experience with MLOps and model deployment pipelines Experience building models in supply chain or logistics (telemetry data insights, volume and capacity forecasting, route building) to generate insights is a plus. Veho is a growth company that looks for team members to grow with it. Veho offers a generous ownership package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Veho employee shares one galvanizing mission: to revolutionize the world of package delivery by creating exceptional experiences for customers and drivers. We are deeply value-driven (Team Up, Drive Impact, Take Ownership, Solve Bigger, Obsess Over Experience, Make Today Count) and care tremendously about investing in people. We are committed to creating a diverse team and an environment that provides everyone with the opportunity to do the work of their lifetime. Veho is unable to provide sponsorship at this time. Veho is committed to nurturing, cultivating and preserving a diverse and inclusive work environment. Empathy and respect for each other is core to our values and a central part of working here every day. The diversity of our employees, drivers and applicants is welcomed and encouraged. Show more Show less",Other,Python
Data Scientist - Last Mile,Veho,United States,2025-05-07,https://www.linkedin.com/jobs/view/data-scientist-last-mile-at-veho-4188551903,"About The Role As a Data Scientist, you’ll be part of a team of Data Scientists to help define, build, and operate sophisticated models to answer hard questions centered around improving our logistics network and user experiences. In particular you will be focused on the Last Mile space to better understand our driver’s delivery behavior and improve our tools for creating, estimating, and tracking routes. You’ll partner with product managers to understand high-value business problems, build systems that inform daily operations, and work with cutting-edge technology. You’ll work closely with software engineers to operationalize the models you build in the production systems that drive Veho. Responsibilities Include Building reliable, efficient, and scalable Data Science models Using telemetry data to understand how we can help drivers deliver our packages more efficiently Creating data products that help stakeholders understand company performance in the area of Last Mile Understanding business context and gathering requirements Proactively identifying the most impactful opportunities to shape product roadmaps Creating robust data pipelines to feed analyses and models Analyzing and evaluating the impact and effectiveness of models in production systems What You Bring Bachelor’s Degree plus 4 years of experience in data science or data engineering, or Master’s Degree plus 2 years in data science At least 2 years of experience using statistical modeling or machine learning techniques to solve business problems. Strong SQL and Python skills are a must At least 2 years of experience with open source languages and tooling used for large-scale data analytics like Python, numpy, and/or distributed data processing systems like spark At least 2 years of experience with analytical relational databases like Redshift, BigQuery, or Snowflake At least 2 years of experience working with cloud-based data engineering and data science tools. Experience with MLOps and model deployment pipelines Experience building models in supply chain or logistics (telemetry data insights, volume and capacity forecasting, route building) to generate insights is a plus. Veho is a growth company that looks for team members to grow with it. Veho offers a generous ownership package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Veho employee shares one galvanizing mission: to revolutionize the world of package delivery by creating exceptional experiences for customers and drivers. We are deeply value-driven (Team Up, Drive Impact, Take Ownership, Solve Bigger, Obsess Over Experience, Make Today Count) and care tremendously about investing in people. We are committed to creating a diverse team and an environment that provides everyone with the opportunity to do the work of their lifetime. Veho is unable to provide sponsorship at this time. Veho is committed to nurturing, cultivating and preserving a diverse and inclusive work environment. Empathy and respect for each other is core to our values and a central part of working here every day. The diversity of our employees, drivers and applicants is welcomed and encouraged. Show more Show less",Other,Machine Learning
Data Scientist - Last Mile,Veho,United States,2025-05-07,https://www.linkedin.com/jobs/view/data-scientist-last-mile-at-veho-4188551903,"About The Role As a Data Scientist, you’ll be part of a team of Data Scientists to help define, build, and operate sophisticated models to answer hard questions centered around improving our logistics network and user experiences. In particular you will be focused on the Last Mile space to better understand our driver’s delivery behavior and improve our tools for creating, estimating, and tracking routes. You’ll partner with product managers to understand high-value business problems, build systems that inform daily operations, and work with cutting-edge technology. You’ll work closely with software engineers to operationalize the models you build in the production systems that drive Veho. Responsibilities Include Building reliable, efficient, and scalable Data Science models Using telemetry data to understand how we can help drivers deliver our packages more efficiently Creating data products that help stakeholders understand company performance in the area of Last Mile Understanding business context and gathering requirements Proactively identifying the most impactful opportunities to shape product roadmaps Creating robust data pipelines to feed analyses and models Analyzing and evaluating the impact and effectiveness of models in production systems What You Bring Bachelor’s Degree plus 4 years of experience in data science or data engineering, or Master’s Degree plus 2 years in data science At least 2 years of experience using statistical modeling or machine learning techniques to solve business problems. Strong SQL and Python skills are a must At least 2 years of experience with open source languages and tooling used for large-scale data analytics like Python, numpy, and/or distributed data processing systems like spark At least 2 years of experience with analytical relational databases like Redshift, BigQuery, or Snowflake At least 2 years of experience working with cloud-based data engineering and data science tools. Experience with MLOps and model deployment pipelines Experience building models in supply chain or logistics (telemetry data insights, volume and capacity forecasting, route building) to generate insights is a plus. Veho is a growth company that looks for team members to grow with it. Veho offers a generous ownership package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Veho employee shares one galvanizing mission: to revolutionize the world of package delivery by creating exceptional experiences for customers and drivers. We are deeply value-driven (Team Up, Drive Impact, Take Ownership, Solve Bigger, Obsess Over Experience, Make Today Count) and care tremendously about investing in people. We are committed to creating a diverse team and an environment that provides everyone with the opportunity to do the work of their lifetime. Veho is unable to provide sponsorship at this time. Veho is committed to nurturing, cultivating and preserving a diverse and inclusive work environment. Empathy and respect for each other is core to our values and a central part of working here every day. The diversity of our employees, drivers and applicants is welcomed and encouraged. Show more Show less",Other,Snowflake
Data Scientist - Last Mile,Veho,United States,2025-05-07,https://www.linkedin.com/jobs/view/data-scientist-last-mile-at-veho-4188551903,"About The Role As a Data Scientist, you’ll be part of a team of Data Scientists to help define, build, and operate sophisticated models to answer hard questions centered around improving our logistics network and user experiences. In particular you will be focused on the Last Mile space to better understand our driver’s delivery behavior and improve our tools for creating, estimating, and tracking routes. You’ll partner with product managers to understand high-value business problems, build systems that inform daily operations, and work with cutting-edge technology. You’ll work closely with software engineers to operationalize the models you build in the production systems that drive Veho. Responsibilities Include Building reliable, efficient, and scalable Data Science models Using telemetry data to understand how we can help drivers deliver our packages more efficiently Creating data products that help stakeholders understand company performance in the area of Last Mile Understanding business context and gathering requirements Proactively identifying the most impactful opportunities to shape product roadmaps Creating robust data pipelines to feed analyses and models Analyzing and evaluating the impact and effectiveness of models in production systems What You Bring Bachelor’s Degree plus 4 years of experience in data science or data engineering, or Master’s Degree plus 2 years in data science At least 2 years of experience using statistical modeling or machine learning techniques to solve business problems. Strong SQL and Python skills are a must At least 2 years of experience with open source languages and tooling used for large-scale data analytics like Python, numpy, and/or distributed data processing systems like spark At least 2 years of experience with analytical relational databases like Redshift, BigQuery, or Snowflake At least 2 years of experience working with cloud-based data engineering and data science tools. Experience with MLOps and model deployment pipelines Experience building models in supply chain or logistics (telemetry data insights, volume and capacity forecasting, route building) to generate insights is a plus. Veho is a growth company that looks for team members to grow with it. Veho offers a generous ownership package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Veho employee shares one galvanizing mission: to revolutionize the world of package delivery by creating exceptional experiences for customers and drivers. We are deeply value-driven (Team Up, Drive Impact, Take Ownership, Solve Bigger, Obsess Over Experience, Make Today Count) and care tremendously about investing in people. We are committed to creating a diverse team and an environment that provides everyone with the opportunity to do the work of their lifetime. Veho is unable to provide sponsorship at this time. Veho is committed to nurturing, cultivating and preserving a diverse and inclusive work environment. Empathy and respect for each other is core to our values and a central part of working here every day. The diversity of our employees, drivers and applicants is welcomed and encouraged. Show more Show less",Other,Sql
Data Scientist - Last Mile,Veho,United States,2025-05-07,https://www.linkedin.com/jobs/view/data-scientist-last-mile-at-veho-4188551903,"About The Role As a Data Scientist, you’ll be part of a team of Data Scientists to help define, build, and operate sophisticated models to answer hard questions centered around improving our logistics network and user experiences. In particular you will be focused on the Last Mile space to better understand our driver’s delivery behavior and improve our tools for creating, estimating, and tracking routes. You’ll partner with product managers to understand high-value business problems, build systems that inform daily operations, and work with cutting-edge technology. You’ll work closely with software engineers to operationalize the models you build in the production systems that drive Veho. Responsibilities Include Building reliable, efficient, and scalable Data Science models Using telemetry data to understand how we can help drivers deliver our packages more efficiently Creating data products that help stakeholders understand company performance in the area of Last Mile Understanding business context and gathering requirements Proactively identifying the most impactful opportunities to shape product roadmaps Creating robust data pipelines to feed analyses and models Analyzing and evaluating the impact and effectiveness of models in production systems What You Bring Bachelor’s Degree plus 4 years of experience in data science or data engineering, or Master’s Degree plus 2 years in data science At least 2 years of experience using statistical modeling or machine learning techniques to solve business problems. Strong SQL and Python skills are a must At least 2 years of experience with open source languages and tooling used for large-scale data analytics like Python, numpy, and/or distributed data processing systems like spark At least 2 years of experience with analytical relational databases like Redshift, BigQuery, or Snowflake At least 2 years of experience working with cloud-based data engineering and data science tools. Experience with MLOps and model deployment pipelines Experience building models in supply chain or logistics (telemetry data insights, volume and capacity forecasting, route building) to generate insights is a plus. Veho is a growth company that looks for team members to grow with it. Veho offers a generous ownership package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Veho employee shares one galvanizing mission: to revolutionize the world of package delivery by creating exceptional experiences for customers and drivers. We are deeply value-driven (Team Up, Drive Impact, Take Ownership, Solve Bigger, Obsess Over Experience, Make Today Count) and care tremendously about investing in people. We are committed to creating a diverse team and an environment that provides everyone with the opportunity to do the work of their lifetime. Veho is unable to provide sponsorship at this time. Veho is committed to nurturing, cultivating and preserving a diverse and inclusive work environment. Empathy and respect for each other is core to our values and a central part of working here every day. The diversity of our employees, drivers and applicants is welcomed and encouraged. Show more Show less",Other,Spark
Data Scientist - Last Mile,Veho,United States,2025-05-07,https://www.linkedin.com/jobs/view/data-scientist-last-mile-at-veho-4188551903,"About The Role As a Data Scientist, you’ll be part of a team of Data Scientists to help define, build, and operate sophisticated models to answer hard questions centered around improving our logistics network and user experiences. In particular you will be focused on the Last Mile space to better understand our driver’s delivery behavior and improve our tools for creating, estimating, and tracking routes. You’ll partner with product managers to understand high-value business problems, build systems that inform daily operations, and work with cutting-edge technology. You’ll work closely with software engineers to operationalize the models you build in the production systems that drive Veho. Responsibilities Include Building reliable, efficient, and scalable Data Science models Using telemetry data to understand how we can help drivers deliver our packages more efficiently Creating data products that help stakeholders understand company performance in the area of Last Mile Understanding business context and gathering requirements Proactively identifying the most impactful opportunities to shape product roadmaps Creating robust data pipelines to feed analyses and models Analyzing and evaluating the impact and effectiveness of models in production systems What You Bring Bachelor’s Degree plus 4 years of experience in data science or data engineering, or Master’s Degree plus 2 years in data science At least 2 years of experience using statistical modeling or machine learning techniques to solve business problems. Strong SQL and Python skills are a must At least 2 years of experience with open source languages and tooling used for large-scale data analytics like Python, numpy, and/or distributed data processing systems like spark At least 2 years of experience with analytical relational databases like Redshift, BigQuery, or Snowflake At least 2 years of experience working with cloud-based data engineering and data science tools. Experience with MLOps and model deployment pipelines Experience building models in supply chain or logistics (telemetry data insights, volume and capacity forecasting, route building) to generate insights is a plus. Veho is a growth company that looks for team members to grow with it. Veho offers a generous ownership package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Veho employee shares one galvanizing mission: to revolutionize the world of package delivery by creating exceptional experiences for customers and drivers. We are deeply value-driven (Team Up, Drive Impact, Take Ownership, Solve Bigger, Obsess Over Experience, Make Today Count) and care tremendously about investing in people. We are committed to creating a diverse team and an environment that provides everyone with the opportunity to do the work of their lifetime. Veho is unable to provide sponsorship at this time. Veho is committed to nurturing, cultivating and preserving a diverse and inclusive work environment. Empathy and respect for each other is core to our values and a central part of working here every day. The diversity of our employees, drivers and applicants is welcomed and encouraged. Show more Show less",Other,Numpy
Data Scientist - Last Mile,Veho,United States,2025-05-07,https://www.linkedin.com/jobs/view/data-scientist-last-mile-at-veho-4188551903,"About The Role As a Data Scientist, you’ll be part of a team of Data Scientists to help define, build, and operate sophisticated models to answer hard questions centered around improving our logistics network and user experiences. In particular you will be focused on the Last Mile space to better understand our driver’s delivery behavior and improve our tools for creating, estimating, and tracking routes. You’ll partner with product managers to understand high-value business problems, build systems that inform daily operations, and work with cutting-edge technology. You’ll work closely with software engineers to operationalize the models you build in the production systems that drive Veho. Responsibilities Include Building reliable, efficient, and scalable Data Science models Using telemetry data to understand how we can help drivers deliver our packages more efficiently Creating data products that help stakeholders understand company performance in the area of Last Mile Understanding business context and gathering requirements Proactively identifying the most impactful opportunities to shape product roadmaps Creating robust data pipelines to feed analyses and models Analyzing and evaluating the impact and effectiveness of models in production systems What You Bring Bachelor’s Degree plus 4 years of experience in data science or data engineering, or Master’s Degree plus 2 years in data science At least 2 years of experience using statistical modeling or machine learning techniques to solve business problems. Strong SQL and Python skills are a must At least 2 years of experience with open source languages and tooling used for large-scale data analytics like Python, numpy, and/or distributed data processing systems like spark At least 2 years of experience with analytical relational databases like Redshift, BigQuery, or Snowflake At least 2 years of experience working with cloud-based data engineering and data science tools. Experience with MLOps and model deployment pipelines Experience building models in supply chain or logistics (telemetry data insights, volume and capacity forecasting, route building) to generate insights is a plus. Veho is a growth company that looks for team members to grow with it. Veho offers a generous ownership package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Veho employee shares one galvanizing mission: to revolutionize the world of package delivery by creating exceptional experiences for customers and drivers. We are deeply value-driven (Team Up, Drive Impact, Take Ownership, Solve Bigger, Obsess Over Experience, Make Today Count) and care tremendously about investing in people. We are committed to creating a diverse team and an environment that provides everyone with the opportunity to do the work of their lifetime. Veho is unable to provide sponsorship at this time. Veho is committed to nurturing, cultivating and preserving a diverse and inclusive work environment. Empathy and respect for each other is core to our values and a central part of working here every day. The diversity of our employees, drivers and applicants is welcomed and encouraged. Show more Show less",Other,Redshift
Computer Scientists/Software Developers,Astrion,"King George, VA",2025-05-07,https://www.linkedin.com/jobs/view/computer-scientists-software-developers-at-astrion-4188557248,"Overview SEG is seeking Senior or Journeyman Computer Scientists/Software Developers to support our customer in King George, VA. Responsibilities Will Include Provide support for simulation architecture development and evaluation, unit testing frameworks, memory analysis, workflow development, design patterns, and static and dynamic testing of threat model representations. Lead efforts to standardize and develop software products. Provide supervision and guidance to more junior employees. Assist the customer in improving quantity and quality of software tradecraft at NSWCDD. Support related analysis and trade studies. Local travel anticipated at less than 10 percent and rare short overnight trips. Required Qualifications 3 years’ minimum experience with 5-10 years highly desired in C++ code development, Python coding, and software development tools including Git, Gitlab, Jira, and Matlab Related BS degree or above. DoD Secret security clearance with TS eligible. Excellent verbal and written communication skills. Strong analytical skills. Experience with documentation and presentations via Microsoft office products (Outlook, PowerPoint, Excel, Word). Self-starter - Demonstrate independent ownership of tasking. Position affords opportunity to define path and lead tasks based on technical understanding of engineering community and appreciation of customer needs. Role requires strong SW design and development skills. Knowledge of the full Software Development Life Cycle (SDLC). Desired Qualifications Active TOP SECRET/SCI Security Clearance or eligibility. Related experience design, development and implementation of technical products related to Navy and Missile Defense Agency defensive systems. Experience or knowledge of flight dynamics, six degrees of freedom equations of motion, or missile flight simulations. Experience with AFSIM is highly desirable. Familiarity with human systems integration; information assurance, and model-based system engineering (MBSE) principles and tools. Experience with NGTS. Experience using and/or building Continuous Integration/Continuous Delivery (CI/CD) pipelines. Show more Show less",Other,Git
Computer Scientists/Software Developers,Astrion,"King George, VA",2025-05-07,https://www.linkedin.com/jobs/view/computer-scientists-software-developers-at-astrion-4188557248,"Overview SEG is seeking Senior or Journeyman Computer Scientists/Software Developers to support our customer in King George, VA. Responsibilities Will Include Provide support for simulation architecture development and evaluation, unit testing frameworks, memory analysis, workflow development, design patterns, and static and dynamic testing of threat model representations. Lead efforts to standardize and develop software products. Provide supervision and guidance to more junior employees. Assist the customer in improving quantity and quality of software tradecraft at NSWCDD. Support related analysis and trade studies. Local travel anticipated at less than 10 percent and rare short overnight trips. Required Qualifications 3 years’ minimum experience with 5-10 years highly desired in C++ code development, Python coding, and software development tools including Git, Gitlab, Jira, and Matlab Related BS degree or above. DoD Secret security clearance with TS eligible. Excellent verbal and written communication skills. Strong analytical skills. Experience with documentation and presentations via Microsoft office products (Outlook, PowerPoint, Excel, Word). Self-starter - Demonstrate independent ownership of tasking. Position affords opportunity to define path and lead tasks based on technical understanding of engineering community and appreciation of customer needs. Role requires strong SW design and development skills. Knowledge of the full Software Development Life Cycle (SDLC). Desired Qualifications Active TOP SECRET/SCI Security Clearance or eligibility. Related experience design, development and implementation of technical products related to Navy and Missile Defense Agency defensive systems. Experience or knowledge of flight dynamics, six degrees of freedom equations of motion, or missile flight simulations. Experience with AFSIM is highly desirable. Familiarity with human systems integration; information assurance, and model-based system engineering (MBSE) principles and tools. Experience with NGTS. Experience using and/or building Continuous Integration/Continuous Delivery (CI/CD) pipelines. Show more Show less",Other,Python
Computer Scientists/Software Developers,Astrion,"King George, VA",2025-05-07,https://www.linkedin.com/jobs/view/computer-scientists-software-developers-at-astrion-4188557248,"Overview SEG is seeking Senior or Journeyman Computer Scientists/Software Developers to support our customer in King George, VA. Responsibilities Will Include Provide support for simulation architecture development and evaluation, unit testing frameworks, memory analysis, workflow development, design patterns, and static and dynamic testing of threat model representations. Lead efforts to standardize and develop software products. Provide supervision and guidance to more junior employees. Assist the customer in improving quantity and quality of software tradecraft at NSWCDD. Support related analysis and trade studies. Local travel anticipated at less than 10 percent and rare short overnight trips. Required Qualifications 3 years’ minimum experience with 5-10 years highly desired in C++ code development, Python coding, and software development tools including Git, Gitlab, Jira, and Matlab Related BS degree or above. DoD Secret security clearance with TS eligible. Excellent verbal and written communication skills. Strong analytical skills. Experience with documentation and presentations via Microsoft office products (Outlook, PowerPoint, Excel, Word). Self-starter - Demonstrate independent ownership of tasking. Position affords opportunity to define path and lead tasks based on technical understanding of engineering community and appreciation of customer needs. Role requires strong SW design and development skills. Knowledge of the full Software Development Life Cycle (SDLC). Desired Qualifications Active TOP SECRET/SCI Security Clearance or eligibility. Related experience design, development and implementation of technical products related to Navy and Missile Defense Agency defensive systems. Experience or knowledge of flight dynamics, six degrees of freedom equations of motion, or missile flight simulations. Experience with AFSIM is highly desirable. Familiarity with human systems integration; information assurance, and model-based system engineering (MBSE) principles and tools. Experience with NGTS. Experience using and/or building Continuous Integration/Continuous Delivery (CI/CD) pipelines. Show more Show less",Other,C++
